Time,,,,,,,A/C Mach,A/C Heading (deg),Weapon LAT (deg),,Weapon ALT (ft),Weapon Downtrack (ft),Weapon Crosstrack (ft),,,,Wpn Heading,Wpn Pitch,Wpn Roll,,S1SYSTM01500,S1SYSTM00505,Target LAT (deg),,Target ALT (ft),S1FCPTT004,S1FCPTT005,,S1STGT101107,Tgt Impact Angle,S1STGT101106,Tgt Impact Heading,S1STGT101108,Tgt Offset North,Tgt Offset East,Tgt Offset Down,S1STGT101004
274:07:05:15.529,,,,,,,0.889275,12.001904,31.853233,,20050.382813,55088.121094,269.153320,,,,12.376269,-0.727397,-2.994005,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:15.592,,,,,,,0.889275,12.001904,31.853386,,20050.505859,55030.417969,271.463196,,,,12.388923,-0.748024,-2.976966,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:15.655,,,,,,,0.889275,12.001904,31.853537,,20050.619141,54973.917969,273.964111,,,,12.376453,-0.711301,-2.972654,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:15.718,,,,,,,0.889563,11.848033,31.853687,,20050.730469,54917.410156,278.884247,,,,12.377636,-0.729881,-2.979538,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:15.781,,,,,,,0.889563,11.848033,31.853864,,20050.857422,54850.695313,288.890442,,,,12.386397,-0.675588,-2.968974,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:15.844,,,,,,,0.889563,11.848033,31.854015,,20050.964844,54794.218750,287.103638,,,,12.385439,-0.683141,-2.982784,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:15.907,,,,,,,0.889563,11.848033,31.854192,,20051.087891,54727.539063,290.295593,,,,12.399712,-0.649170,-2.972295,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:15.970,,,,,,,0.889563,11.848033,31.854343,,20051.191406,54671.023438,295.444916,,,,12.378797,-0.629026,-2.917637,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:16.033,,,,,,,0.889563,11.848033,31.854496,,20051.296875,54613.355469,291.383331,,,,12.390007,-0.611327,-2.915865,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:16.096,,,,,,,0.889563,11.848033,31.854646,,20051.404297,54556.851563,295.235168,,,,12.395855,-0.590732,-2.910150,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:16.159,,,,,,,0.889563,11.848033,31.854800,,20051.507813,54499.156250,295.423370,,,,12.398625,-0.579766,-2.849967,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:16.222,,,,,,,0.889563,11.848033,31.854974,,20051.636719,54433.675781,300.179291,,,,12.399720,-0.567082,-2.783459,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:16.285,,,,,,,0.889563,11.848033,31.855128,,20051.748047,54375.980469,300.813629,,,,12.395813,-0.546468,-2.708815,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:16.347,,,,,,,0.888579,11.869015,31.855302,,20051.888672,54310.558594,294.644653,,,,12.392217,-0.537801,-2.653989,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:16.410,,,,,,,0.888579,11.869015,31.855456,,20052.013672,54252.835938,300.100647,,,,12.397117,-0.545087,-2.605576,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:16.473,,,,,,,0.888579,11.869015,31.855606,,20052.148438,54196.375000,295.929871,,,,12.402359,-0.521529,-2.547435,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
274:07:05:16.536,,,,,,,0.888579,11.869015,31.855756,,20052.369141,54139.890625,295.653076,,,,12.383208,-0.538722,-2.557297,,0,1,31.999672,,0.000000,0.000000,0.000000,,0,59.995506,0,89.999748,1,0.000000,0.000000,0.000000,9
