Time,Weapon LAT (deg),Weapon LON (deg),Weapon ALT (ft),Target LAT (deg),Target LON (deg),Target ALT (ft),Separation Time
274:07:05:15.529,31.852133434069316,33.96301471267411,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:15.592,31.85228797621276,33.96305345363342,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:15.655,31.852439296112763,33.96309138683376,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:15.718,31.852507194893747,33.96359522579203,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:15.781,31.852685973842714,33.963639451089406,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:15.844,31.852837316784115,33.96367688942669,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:15.907,31.853016001523873,33.963721091419146,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:15.970,31.853167449141576,33.96375855565064,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.033,31.853321984750494,33.963796783771464,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.096,31.853473400964234,33.96383424023443,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.159,31.853628009848176,33.9638724864816,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.222,31.853803480986222,33.96391589351194,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.285,31.853958089867486,33.96395413975845,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.347,31.85414459470069,33.96393466396387,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.410,31.854299264963196,33.96397299512893,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.473,31.854450554399737,33.96401048844062,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.536,31.854601906636695,33.96404799731584,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.599,31.854756535031363,33.96408631810499,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.662,31.854931961275586,33.96412979312218,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.725,31.855086505934576,33.964168093159536,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.788,31.85526181704425,33.96421153964351,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.851,31.85541641403737,33.96424985265057,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.914,31.8555671068552,33.96428719810521,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:16.977,31.85571850096,33.96432471735632,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.040,31.855897213830897,33.964369006881924,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.103,31.856048607935694,33.96440652613304,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.166,31.856227362671753,33.964450826033875,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.229,31.85637880911336,33.964488358255366,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.292,31.856533489842157,33.964526692014225,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.355,31.856684810677567,33.96456419310735,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.418,31.856836267585464,33.96460172792264,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.481,31.857014938585845,33.964646007071686,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.544,31.85716638502745,33.96468353929317,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.607,31.857370689118138,33.96458442801315,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.670,31.85752201411881,33.964622089377066,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.733,31.857673443768903,33.96465977678585,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.796,31.857828138525424,33.96469827680564,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.859,31.85797880422563,33.96473577408461,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.922,31.858157516329836,33.964780251478054,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:17.985,31.858308851794913,33.96481791544632,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.048,31.85848761622651,33.96486240586287,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.111,31.858638962155993,33.96490007243548,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.174,31.858790234831954,33.964937720776966,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.237,31.8588872177223,33.965300400596036,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.300,31.859062642488684,33.96534363800437,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.363,31.859241344169938,33.965387683082625,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.426,31.859368159650003,33.965418939630986,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.489,31.859543563476304,33.96546217187817,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.552,31.859698248421072,33.96550029748756,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.615,31.85984966692235,33.96553761800794,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.678,31.860001064483548,33.96557493336717,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.741,31.86017986038846,33.965619001668976,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.804,31.86033050415501,33.96565613123843,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.867,31.860509289588542,33.96570019695933,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
274:07:05:18.930,31.86066067668104,33.96573750973831,1000.0,31.999672,34.0,15010.59375,274:07:05:21.638
